id,日本語名,系譜,段,性別,体格,向き,カメラ,象徴形,服の傷み,内側の密度,姿,個別の注意,現状,所見
knight,騎士,knight,1,男,小,斜め35,正面,長い槍を斜めに構える,使い込まれている,ふつう,磨いた鋼の全身板金鎧。目元が見える面頬つきの兜。片足を前に踏み出し、右手で長い槍の柄を握って斜めに構える。腰までの短い青い外套。,外套は麻。裾は裂かない、風にわずかに揺れる程度／金も宝石も使わない（一の段）／槍の穂先を体の輪郭の外へ,合格（v2）,第01便v1を採用（v3より顔が精悍）。外套の裾の裂けは許容
paladin,聖騎士,knight,2,男,小,斜め35,正面,膝まで届き風に流れる白いサーコートと、胸の金の紋章ひとつ,整っている,簡素,壮年の男。短い髭、頬に古傷、硬く静かな表情。面頬（バイザー）を上げた鋼の兜をかぶり、顔ははっきり見える。鋼の全身板金鎧の上に、膝まで届く白いサーコートを着て、その裾が風に大きく流れる。胸に大きな金の紋章がひとつ。右手で長剣の柄を握り、切っ先を斜め前へ向けて静かに構える。左手は柄頭に添える。外套は着ない。,翼の肩当ては付けない／兜は面頬を上げた形。顔を隠さない（騎士＝面頬を下ろす、聖騎士王＝王冠の兜、と段で変える）／サーコートは骨白、胸の金の紋章ひとつ。縁取りは金ひとつまで／丈は膝まで。裾は裂かず、風に流す（床までは届かせない。床までは聖騎士王）／外套なし／金は紋章と剣の柄まで／後光なし／顔は騎士より年上。若者や町人に見せない。肩幅を広く、胸を厚く／頭を騎士と同じ大きさに。頭が小さいと格が軽く見える,合格（v2）,第01便v3で合格。面頬を上げた兜・膝丈サーコート・金の紋章
paladinking,聖騎士王,knight,3,男,小,浅い斜め20,見上げ,王冠と一体の兜,整っている,ふつう,壮年の男。短く整えた髭、威厳のある硬い顔。顔はカメラのほうへ向け、両目がはっきり見える（横顔にしない）。白銀の全身鎧。鋼の兜の上部が王冠の形になっている（兜と王冠が一体。王冠だけを頭に載せない）。両手で大剣の柄頭を重ねて握り、切っ先を地に突いて仁王立ち。床まで届く絹の長衣と、長い外套が風を受けて大きく舞う。,頭上の光の輪は描かない。光る要素なし／鎧は鋼ではなく白銀。縁取りは金。長衣と外套は絹／布は聖騎士より大きく舞わせ、床まで届かせる（聖騎士は膝丈。ここが段の差）／剣を地に突く姿はこの者だけ／頭を大きく。聖騎士（二の段）より若く見せない／脚を長くしない。胴と脚の比は騎士と同じ,合格（v2）,第02便v3で合格（v3を採用）。兜と王冠一体、髭、両目
warrior,戦士,warrior,1,男,小,斜め35,見下ろし,幅広の直剣を両手で下段に構える,使い込まれている,簡素,革と鋼の混じった簡素な鎧。兜はかぶらず、短く刈った髪と頬の古傷。肩に獣の毛皮を一枚。脚を大きく開いて腰を落とし、幅広の直剣を両手で握って斜め下に構える。歴戦だが、まだ人の目をしている。,腰を落とした低い構えで、がっしりした体。頭は大きめ／毛皮は逆立たせず一枚の面に。腰布は裂かない／留め具は3点まで／金も宝石も使わない,合格（v2）,第03便v1で合格。毛皮の外套・低い構え・幅広の剣
berserker,狂戦士,warrior,2,男,小,半身55,見上げ,片手斧を両手で握り、頭上に振りかぶる,ぼろぼろ,ふつう,革の胸当てを着け、腕と肩だけをさらす。血走った目、乱れた髪、体じゅうの古傷。片手斧（戦士の剣より小さい）を両手で握り、頭上に振りかぶって叫ぶ。横一列を薙ぎ払う直前。,斧は「片手斧」の大きさ。体より大きくしない（強く見えすぎるため）／上半身は革の胸当てで覆い、露出は腕と肩まで／31体で唯一の「ぼろぼろ」。細切れの布を舞わせてよい／熱い色（赤・血・肌色）／動いている・叫んでいる。制御を失った者,合格（v2）,第03便v1で合格。胸当て、斧を振りかぶり叫ぶ、赤いぼろ布
warfiend,戦鬼,warrior,3,男,小,半身55,見上げ,一対の角を飾った鋼の兜と、片手で下げた大剣,整っている,ふつう,人でありながら鬼に変わりつつある者。一対の角の意匠を持つ鋼の兜を深くかぶり、目元は兜の影に沈んで、赤く熱した両目だけが光る。角は兜の飾りであり、頭から生えてはいない。兜の下から口元と顎が見え、皮膚は鉄のような灰色。鎧の隙間と皮膚の亀裂から、半透明の灰色の煙が太い帯になって立ちのぼり、上へ行くほど薄れて消える。煙の向こう側の背景が透けて見える。戦士の剣より一回り大きい大剣を、右手一本で無造作に下げ、切っ先を地に向ける。左手は開いたまま。静止し、無表情。,光るのは兜の影の中の両目だけ。煙は光らせない（量は多くてよい）／煙は「半透明の灰色のもや」。輪郭をぼかし、縁は薄く溶かす。毛・炎・触手のように渦巻く房や、はっきりした縁を持つ塊にしない／煙の色は無彩色の灰。紫・赤紫を混ぜない／冷たい色（鉄灰）。赤は目と亀裂だけ／布は整っている。ぼろぼろにしない／振りかぶらない。狂戦士と姿勢を変える。止まっている・無表情。制御しきった者／大剣は戦士の剣より大きく、片手で持てる余裕を見せる／角は兜の左右に1本ずつ、合計2本だけ。ほかの棘や突起を兜に付けない／外套の縁は裂かない。まっすぐな縁／頭を大きく、肩を広く。脚を長くしない,合格（v2）,第02便v3で合格。角2本の兜、赤い目、半透明の灰の煙、片手の大剣
spearman,槍兵,spearman,-,男,小,半身55,正面,斜め上へ突き上げる長い槍と、鼻当てのついた円錐の兜,使い込まれている,簡素,歴戦の歩兵。三十代、精悍な顔、頬骨の高い硬い表情。鼻当て（ネイザル）のついた鋼の円錐兜をかぶり、両目と口元が見える。全身に鎖帷子を着込み、その上に深緑の短い陣羽織（袖なし、腰まで）。外套もマントも毛皮もなし。両脚を大きく開いて踏ん張り、体より長い槍を両手で強く握って、斜め上へ突き上げる。穂先は枠の右上へ向かい、槍の柄は左下へ伸びる。騎兵や竜の喉を狙う構え。,剣を持たせない／外套・マント・毛皮を一切着けない（戦士・騎士と見分けるため）／鎧は鎖帷子＋陣羽織。板金の胸当てや大きな肩当ては付けない／槍は騎士の槍より長い。穂先も柄の端も、枠の内側に収める（画面の外に出さない）／農夫や町人に見せない。兵士の硬さ、傷、精悍さ／布は擦れているが破れていない。裾を裂かない,合格（v2）,第04便v3で合格。鎖帷子・鼻当て兜・深緑の陣羽織・槍を突き上げる
shieldguard,護衛兵,shieldguard,1,男,小,浅い斜め20,見上げ,面積の大きな大盾,整っている,簡素,分厚い全身鎧。首が埋まるほど肩が大きい。顔は角ばった大兜にほぼ隠れ、細い覗き穴の奥だけが光る。両脚を踏ん張り、体の前に大盾を地面へ突き立てる。マントは着けない。,マントなし,合格（v2）,第04便v1を採用（剣の構え）。v3（緑盾・大兜）は控え
archer,弓兵,archer,1,男,小,真横85,正面,独特な反りの長弓,使い込まれている,簡素,軽装。深く被ったフードの下から鋭い片目が覗き、口元は布で覆う。体を真横に向け、両脚を大きく開いて腰を落とし、身長ほどもある大きな反り弓を引き絞る。両腕と弓が左右いっぱいに開き、弓の弧は体の輪郭の外へ大きく出る。矢は水平。外套は風を受けて後ろへ広がる。背に矢筒。外套は粗い麻。,弓は大きく。上下の端が頭より上、腰より下まで届く／弓の弧を体の輪郭の外へ／弓の弧の内側に来る体と外套を、弓より暗く落とす／脚を閉じて棒立ちにしない。低く踏ん張った構え／外套の裾は裂かない（使い込まれ止まり）／金も宝石も使わない,合格（v2）,第05便v2で合格。低い構え・大きな反り弓・外套が広がる
rogue,盗賊,rogue,1,男,小,半身55,見下ろし,片手でフードを深く押さえ、もう片手に小さな短剣を控えめに持つ,使い込まれている,ふつう,灰茶の粗い外套とフード。片手でフードの縁をつかんで深く引き下げ、顔を隠す。もう一方の手は体の脇で、小さな短剣を一本、目立たないように握る。身を縮め、こそこそと物陰へ向かう者。,外套は黒ではなく灰茶（旅人に紛れる色）。黒は上の段に譲る／短剣は小さく一本だけ。二本持たせない／フードを押さえる腕が、頭の高さに上がっていること（この者だけの形）／外套は一枚の布。細切れに裂かない／短剣の刃は外套より明るく、刃先を体の輪郭の外へ出す。刃に細い明るい線を通す／短剣を握る手は腰より前に出し、外套の暗い布の手前に置く,合格（v2）,第05便v2で合格。フードを押さえ、明るい短剣を前に
